type,label,value,from,to
answer,"circuit, track",G02.04,G02,
answer,hippodrome,G02.05,G02,
answer,attraction park,G02.06,G02,
answer,sports pitch,G02.07,G02,
answer,camping and caravans,G02.08,G02,
answer,wildlife watching,G02.09,G02,
answer,other sport / leisure complexes,G02.10,G02,
answer,Interpretative centres,G03,G,
answer,Military use and civil unrest,G04,G,G04
answer,Military manouvres,G04.01,G04,
answer,abandonment of military use,G04.02,G04,
answer,Other human intrusions and disturbances ,G05,G,G05
answer,"Trampling, overuse",G05.01,G05,
answer,shallow surface abrasion/ mechanical damage to seabed surface,G05.02,G05,
answer,penetration/ disturbance below surface of the seabed ,G05.03,G05,
answer,Vandalism,G05.04,G05,
answer,intensive maintenance of public parcs /cleaning of beaches,G05.05,G05,
answer,"tree surgery, felling for public safety, removal of roadside trees",G05.06,G05,
answer,missing or wrongly directed conservation measures,G05.07,G05,
answer,closures of caves or galleries,G05.08,G05,
answer,"fences, fencing",G05.09,G05,
answer,overflying with aircrafts (agricultural),G05.10,G05,
answer,death or injury by collision,G05.11,G05,
answer,Pollution,H,root,H
answer,"Pollution to surface waters (limnic & terrestrial, marine & brackish)",H01,H,H01
answer,pollution to surface waters by industrial plants,H01.01,H01,
answer,pollution to surface waters by storm overflows,H01.02,H01,
answer,other point source pollution to surface water,H01.03,H01,
answer,diffuse pollution to surface waters via strom overlows or urban run-off,H01.04,H01,
answer,diffuse pollution to surface waters due to agricultural and forestry activities,H01.05,H01,
answer,diffuse pollution to surface waters due to transport and infrastructure without connection to canalization/sweepers,H01.06,H01,
answer,diffuse pollution to surface waters due to abandoned industrial sites,H01.07,H01,
answer,diffuse pollution to surface waters due to household sewage and waste waters,H01.08,H01,
answer,diffuse pollution to surface waters due to other sources not listed,H01.09,H01,
answer,Pollution to groundwater (point sources and diffuse sources),H02,H,H02
answer,groundwater pollution by leakages from contaminated sites,H02.01,H02,
answer,groundwater pollution by leakages from waste disposal sites,H02.02,H02,
answer,groundwater pollution associated with oil industry infrastructure,H02.03,H02,
answer,groundwater pollution by mine water discharges,H02.04,H02,
answer,groundwater pollution by discharge to ground such as disposal of contaminated water to soakaways,H02.05,H02,
answer,diffuse groundwater pollution due to agricultural and forestry activities,H02.06,H02,
answer,diffuse groundwater pollution due to non-sewered population,H02.07,H02,
answer,diffuse groundwater pollution due to urban land use,H02.08,H02,
answer,Marine water pollution,H03,H,H03
answer,oil spills in the sea,H03.01,H03,
answer,toxic chemical discharge from material dumped at sea,H03.02,H03,H03.02
answer,non-synthetic compound contamination,H03.02.01,H03.02,
answer,synthetic compound contamination ,H03.02.02,H03.02,
answer,radionucleide contamination,H03.02.03,H03.02,
answer,"introduction of other substances (e.g. liquid, gas)",H03.02.04,H03.02,
